Name,Label
A,0
Abad,0
Ability,0
Abohar,0
About,0
Abouted,0
Abouter,0
Abouting,0
Aboutly,0
Abouts,0
Acha,0
Achalam,0
Achalpur,0
Achi,0
Act,0
Active,0
Actived,0
Actively,0
Activer,0
Actives,0
Activing,0
Ada,0
Adapter,0
Adhikari,0
Adil,0
Adilabad,0
Adun,0
Adurga,0
Agaluru,0
Agar,0
Agaram,0
Agartala,0
Agarwal,0
Agpur,0
Agra,0
Agraj,0
Agrawal,0
Ahluwalia,0
Ahme,0
Ahmed,0
Ahmedabad,0
Ahmednagar,0
Ahuja,0
Aich,0
Air,0
Aizawl,0
Ajmer,0
Akba,0
Akbarpur,0
Akola,0
Akudi,0
Alap,0
Alappuzha,0
Alayam,0
Alexed,0
Alexer,0
Alexing,0
Alexly,0
Alexs,0
Aligarh,0
Alipu,0
Alipurduar,0
All,0
Alla,0
Allahabad,0
Allin,0
Allinagaram,0
Alore,0
Alpur,0
Aluru,0
Alwar,0
Ambadi,0
Ambarnath,0
Ambattur,0
Ambered,0
Amberer,0
Ambering,0
Amberly,0
Ambers,0
Ambikapur,0
Amgram,0
Ampur,0
Amra,0
Amravati,0
Amri,0
Amritsar,0
Amroha,0
An,0
Anad,0
Anagar,0
Anantapur,0
Ance,0
And,0
Anda,0
Andalam,0
Andar,0
Andi,0
Andy,0
Andyed,0
Andyer,0
Andying,0
Andyly,0
Andys,0
Aner,0
Angarh,0
Angel,0
Angeled,0
Angeler,0
Angeling,0
Angelly,0
Angels,0
Anger,0
Angry,0
Angryed,0
Angryer,0
Angrying,0
Angryly,0
Angrys,0
Animal,0
Animaled,0
Animaler,0
Animaling,0
Animally,0
Animals,0
Ankot,0
Ankovil,0
Anpur,0
Answer,0
Ant,0
Anyam,0
Apartment,0
Apatnam,0
Apet,0
App,0
Apple,0
Appled,0
Applely,0
Appler,0
Apples,0
Appling,0
Apriled,0
Apriler,0
Apriling,0
Aprilly,0
Aprils,0
Apte,0
Apur,0
Apura,0
Arai,0
Arak,0
Arakkonam,0
Aranji,0
Araria,0
Are,0
Area,0
Areli,0
Arena,0
Arga,0
Arnagar,0
Arora,0
Arpur,0
Arsa,0
Art,0
Aruppu,0
Aruppukkottai,0
Arwal,0
As,0
Asa,0
Asansol,0
Asat,0
Ash,0
Asia,0
At,0
Ater,0
Athur,0
Atore,0
Atpur,0
August,0
Augusted,0
Auguster,0
Augusting,0
Augustly,0
Augusts,0
Auran,0
Aurangabad,0
Auto,0
Autumn,0
Avai,0
Available,0
Aval,0
Awada,0
Awal,0
Awasthi,0
Ayam,0
Azamgarh,0
Back,0
Bad,0
Badaun,0
Badl,0
Badlapur,0
Bag,0
Baga,0
Bagalkot,0
Bagchi,0
Bahl,0
Bahr,0
Bahraich,0
Bajaj,0
Bake,0
Baked,0
Bakely,0
Baker,0
Bakered,0
Bakerer,0
Bakering,0
Bakerly,0
Bakers,0
Bakes,0
Baking,0
Bakshi,0
Bal,0
Bala,0
Balasore,0
Ball,0
Ballia,0
Bally,0
Balurghat,0
Ban,0
Banana,0
Bananaed,0
Bananaer,0
Bananaing,0
Bananaly,0
Bananas,0
Banda,0
Banerjee,0
Bang,0
Bangalore,0
Bangaon,0
Bank,0
Banka,0
Banked,0
Banker,0
Banki,0
Banking,0
Bankly,0
Banks,0
Bankura,0
Bans,0
Bansal,0
Banswara,0
Bar,0
Bara,0
Barabanki,0
Baranagar,0
Barasat,0
Bard,0
Bardhaman,0
Bare,0
Bareilly,0
Bari,0
Baripada,0
Bark,0
Barked,0
Barker,0
Barking,0
Barkly,0
Barks,0
Barley,0
Barleyed,0
Barleyer,0
Barleying,0
Barleyly,0
Barleys,0
Barman,0
Barnala,0
Baron,0
Baroned,0
Baroner,0
Baroning,0
Baronly,0
Barons,0
Barshi,0
Barua,0
Basa,0
Basi,0
Basil,0
Basiled,0
Basiler,0
Basiling,0
Basilly,0
Basils,0
Basirhat,0
Basti,0
Bat,0
Batala,0
Batch,0
Bath,0
Bathinda,0
Bathroom,0
Batra,0
Battery,0
Bawa,0
Bazaar,0
Bazar,0
Be,0
Bean,0
Beaned,0
Beaner,0
Beaning,0
Beanly,0
Beans,0
Bear,0
Beared,0
Bearer,0
Bearing,0
Bearly,0
Bears,0
Beautiful,0
Beautifuled,0
Beautifuler,0
Beautifuling,0
Beautifully,0
Beautifuls,0
Beawar,0
Bed,0
Bedi,0
Bedroom,0
Bee,0
Beech,0
Beeched,0
Beecher,0
Beeching,0
Beechly,0
Beechs,0
Beed,0
Been,0
Beened,0
Beener,0
Beening,0
Beenly,0
Beens,0
Beer,0
Beered,0
Beerer,0
Beering,0
Beerly,0
Beers,0
Begin,0
Begined,0
Beginer,0
Begining,0
Beginly,0
Begins,0
Begu,0
Begusarai,0
Behar,0
Behera,0
Bel,0
Belagavi,0
Belgaum,0
Belief,0
Belt,0
Belted,0
Belter,0
Belting,0
Beltly,0
Belts,0
Ben,0
Bend,0
Bended,0
Bender,0
Bending,0
Bendly,0
Bends,0
Beng,0
Bengaluru,0
Berh,0
Berha,0
Berhampore,0
Berhampur,0
Berry,0
Berryed,0
Berryer,0
Berrying,0
Berryly,0
Berrys,0
Best,0
Betul,0
Bha,0
Bhadr,0
Bhadreswar,0
Bhag,0
Bhagalpur,0
Bhal,0
Bhanjan,0
Bhar,0
Bharatpur,0
Bharuch,0
Bhasin,0
Bhat,0
Bhatia,0
Bhatnagar,0
Bhatpara,0
Bhattacharya,0
Bhattacharyya,0
Bhavnagar,0
Bhay,0
Bhayandar,0
Bhi,0
Bhil,0
Bhilai,0
Bhilwara,0
Bhind,0
Bhit,0
Bhiw,0
Bhiwandi,0
Bhiwani,0
Bho,0
Bhojpur,0
Bhonsle,0
Bhopal,0
Bhuba,0
Bhuj,0
Bhus,0
Bhusawal,0
Bidar,0
Bidhan,0
Big,0
Bijnor,0
Bik,0
Bikaner,0
Bike,0
Bil,0
Bila,0
Bilaspur,0
Billed,0
Biller,0
Billing,0
Billion,0
Billly,0
Bills,0
Bio,0
Biology,0
Birch,0
Birched,0
Bircher,0
Birching,0
Birchly,0
Birchs,0
Bird,0
Birded,0
Birder,0
Birding,0
Birdly,0
Birds,0
Biscuit,0
Biscuited,0
Biscuiter,0
Biscuiting,0
Biscuitly,0
Biscuits,0
Biswas,0
Bla,0
Black,0
Blacked,0
Blacker,0
Blacking,0
Blackly,0
Blacks,0
Blanket,0
Blem,0
Blood,0
Blue,0
Blunt,0
Bnagar,0
Boat,0
Bob,0
Body,0
Boil,0
Boiled,0
Boiler,0
Boiling,0
Boilly,0
Boils,0
Bokaro,0
Bom,0
Bomdila,0
Bone,0
Book,0
Booked,0
Booking,0
Bookly,0
Books,0
Bora,0
Boreded,0
Boreder,0
Boreding,0
Boredly,0
Boreds,0
Bose,0
Botany,0
Bottle,0
Bottled,0
Bottlely,0
Bottler,0
Bottles,0
Bottling,0
Bottom,0
Bought,0
Box,0
Brain,0
Branch,0
Branched,0
Brancher,0
Branching,0
Branchly,0
Branchs,0
Brar,0
Braved,0
Bravely,0
Braver,0
Braves,0
Braving,0
Bread,0
Breaded,0
Breader,0
Breading,0
Breadly,0
Breads,0
Break,0
Breaked,0
Breaker,0
Breaking,0
Breakly,0
Breaks,0
Bright,0
Bronze,0
Brown,0
Browned,0
Browner,0
Browning,0
Brownly,0
Browns,0
Brush,0
Brushed,0
Brusher,0
Brushing,0
Brushly,0
Brushs,0
Budaun,0
Budge,0
Bug,0
Build,0
Builded,0
Builder,0
Building,0
Buildly,0
Builds,0
Bulan,0
Bulandshahr,0
Bulb,0
Bun,0
Bur,0
Burdwan,0
Burger,0
Burgered,0
Burgerer,0
Burgering,0
Burgerly,0
Burgers,0
Burh,0
Burhanpur,0
Burn,0
Burned,0
Burner,0
Burning,0
